node_id,sensor_timestamp,humidity_percent,raw_value,rssi,voltage,sampling_interval
70:B8:F6:AE:A8:38,2025-12-19T00:00:00.000Z,33.29,3131,-61,4.123,30
D4:E9:F4:66:29:A8,2025-12-19T00:00:00.000Z,32.06,3166,-73,4.144,30
70:B8:F6:AE:A8:38,2025-12-19T00:00:30.000Z,33.32,3130,-81,4.122,30
D4:E9:F4:66:29:A8,2025-12-19T00:00:30.000Z,32.05,3167,-77,4.144,30
70:B8:F6:AE:A8:38,2025-12-19T00:01:00.000Z,33.31,3130,-70,4.122,30
D4:E9:F4:66:29:A8,2025-12-19T00:01:00.000Z,32.08,3166,-58,4.144,30
70:B8:F6:AE:A8:38,2025-12-19T00:01:30.000Z,33.34,3129,-56,4.122,30
D4:E9:F4:66:29:A8,2025-12-19T00:01:30.000Z,32.1,3165,-83,4.144,30
70:B8:F6:AE:A8:38,2025-12-19T00:02:00.000Z,33.32,3130,-67,4.122,30
D4:E9:F4:66:29:A8,2025-12-19T00:02:00.000Z,32.12,3165,-71,4.144,30
70:B8:F6:AE:A8:38,2025-12-19T00:02:30.000Z,33.3,3130,-58,4.122,30
D4:E9:F4:66:29:A8,2025-12-19T00:02:30.000Z,32.1,3165,-60,4.144,30
70:B8:F6:AE:A8:38,2025-12-19T00:03:00.000Z,33.33,3130,-71,4.122,30
D4:E9:F4:66:29:A8,2025-12-19T00:03:00.000Z,32.12,3165,-69,4.143,30
70:B8:F6:AE:A8:38,2025-12-19T00:03:30.000Z,33.35,3129,-66,4.122,30
D4:E9:F4:66:29:A8,2025-12-19T00:03:30.000Z,32.11,3165,-73,4.143,30
70:B8:F6:AE:A8:38,2025-12-19T00:04:00.000Z,33.35,3129,-80,4.122,30
D4:E9:F4:66:29:A8,2025-12-19T00:04:00.000Z,32.11,3165,-83,4.143,30
70:B8:F6:AE:A8:38,2025-12-19T00:04:30.000Z,33.36,3129,-73,4.122,30
D4:E9:F4:66:29:A8,2025-12-19T00:04:30.000Z,32.1,3165,-62,4.143,30
70:B8:F6:AE:A8:38,2025-12-19T00:05:00.000Z,33.35,3129,-85,4.122,30
D4:E9:F4:66:29:A8,2025-12-19T00:05:00.000Z,32.09,3166,-59,4.143,30
70:B8:F6:AE:A8:38,2025-12-19T00:05:30.000Z,33.37,3129,-83,4.121,30
D4:E9:F4:66:29:A8,2025-12-19T00:05:30.000Z,32.07,3166,-59,4.143,30
70:B8:F6:AE:A8:38,2025-12-19T00:06:00.000Z,33.38,3128,-75,4.121,30
D4:E9:F4:66:29:A8,2025-12-19T00:06:00.000Z,32.06,3166,-70,4.143,30
70:B8:F6:AE:A8:38,2025-12-19T00:06:30.000Z,33.38,3128,-79,4.121,30
D4:E9:F4:66:29:A8,2025-12-19T00:06:30.000Z,32.09,3166,-63,4.143,30
70:B8:F6:AE:A8:38,2025-12-19T00:07:00.000Z,33.36,3129,-71,4.121,30
D4:E9:F4:66:29:A8,2025-12-19T00:07:00.000Z,32.07,3166,-75,4.143,30
